bdc_name,ticker,cik,period_end,filing_date,form_type,accession,source_scale,source_url,total_investments_fv,total_assets,total_liabilities,net_assets,nav_per_share,shares_outstanding,total_debt_outstanding,period_end_prior,period_end_prior_kind,total_investments_fv_prior,total_assets_prior,total_liabilities_prior,net_assets_prior,nav_per_share_prior,shares_outstanding_prior,total_debt_outstanding_prior
ARES CAPITAL CORP,ARCC,1287750,2015-03-31,2015-05-04,10-Q,0001104659-15-033385,thousands,https://www.sec.gov/Archives/edgar/data/1287750/000110465915033385/a15-7853_110q.htm,8481881000.0,8917459000.0,3662042000.0,5255417000.0,,314469000.0,3429164000.0,2014-12-31,prior_fiscal_year_end,9028379000.0,9497773000.0,4214058000.0,5283715000.0,,314108000.0,3924482000.0
ARES CAPITAL CORP,ARCC,1287750,2015-06-30,2015-08-04,10-Q,0001104659-15-055586,thousands,https://www.sec.gov/Archives/edgar/data/1287750/000110465915055586/a15-12079_110q.htm,8573395000.0,9124861000.0,3842420000.0,5282441000.0,,314469000.0,3582199000.0,2014-12-31,prior_fiscal_year_end,9028379000.0,9497773000.0,4214058000.0,5283715000.0,,314108000.0,3924482000.0
ARES CAPITAL CORP,ARCC,1287750,2015-09-30,2015-11-04,10-Q,0001104659-15-075535,thousands,https://www.sec.gov/Archives/edgar/data/1287750/000110465915075535/a15-17976_110q.htm,8692480000.0,9172971000.0,3893169000.0,5279802000.0,,314469000.0,3653304000.0,2014-12-31,prior_fiscal_year_end,9028379000.0,9497773000.0,4214058000.0,5283715000.0,,314108000.0,3924482000.0
ARES CAPITAL CORP,ARCC,1287750,2016-03-31,2016-05-04,10-Q,0001104659-16-117420,thousands,https://www.sec.gov/Archives/edgar/data/1287750/000110465916117420/a16-6593_110q.htm,9072101000.0,9365536000.0,4185592000.0,5179944000.0,,313954000.0,3984812000.0,2015-12-31,prior_fiscal_year_end,9055496000.0,9506812000.0,4333480000.0,5173332000.0,,314347000.0,4113935000.0
ARES CAPITAL CORP,ARCC,1287750,2018-09-30,2018-10-31,10-Q,0001287750-18-000025,millions,https://www.sec.gov/Archives/edgar/data/1287750/000128775018000025/arccq3-1810q.htm,11220000000.0,12255000000.0,4942000000.0,7313000000.0,,426000000.0,4546000000.0,2017-12-31,prior_fiscal_year_end,11841000000.0,12347000000.0,5249000000.0,7098000000.0,,426000000.0,4854000000.0
ARES CAPITAL CORP,ARCC,1287750,2018-12-31,2019-02-12,10-K,0001287750-19-000004,millions,https://www.sec.gov/Archives/edgar/data/1287750/000128775019000004/arccq4-1810k.htm,12417000000.0,12895000000.0,5595000000.0,7300000000.0,,426000000.0,5214000000.0,2017-12-31,prior_fiscal_year_end,11841000000.0,12347000000.0,5249000000.0,7098000000.0,,426000000.0,4854000000.0
ARES CAPITAL CORP,ARCC,1287750,2019-03-31,2019-04-30,10-Q,0001287750-19-000013,millions,https://www.sec.gov/Archives/edgar/data/1287750/000128775019000013/arccq1-1910q.htm,13064000000.0,13962000000.0,6623000000.0,7339000000.0,,426000000.0,6197000000.0,2018-12-31,prior_fiscal_year_end,12417000000.0,12895000000.0,5595000000.0,7300000000.0,,426000000.0,5214000000.0
ARES CAPITAL CORP,ARCC,1287750,2019-06-30,2019-07-30,10-Q,0001287750-19-000021,millions,https://www.sec.gov/Archives/edgar/data/1287750/000128775019000021/arccq2-1910q.htm,12992000000.0,13846000000.0,6478000000.0,7368000000.0,,427000000.0,6024000000.0,2018-12-31,prior_fiscal_year_end,12417000000.0,12895000000.0,5595000000.0,7300000000.0,,426000000.0,5214000000.0
ARES CAPITAL CORP,ARCC,1287750,2019-12-31,2020-02-12,10-K,0001287750-20-000008,millions,https://www.sec.gov/Archives/edgar/data/1287750/000128775020000008/arccq4-201910k.htm,14426000000.0,14905000000.0,7438000000.0,7467000000.0,,431000000.0,6971000000.0,2018-12-31,prior_fiscal_year_end,12417000000.0,12895000000.0,5595000000.0,7300000000.0,,426000000.0,5214000000.0
ARES CAPITAL CORP,ARCC,1287750,2020-03-31,2020-05-05,10-Q,0001287750-20-000022,millions,https://www.sec.gov/Archives/edgar/data/1287750/000128775020000022/arccq1-202010q.htm,14370000000.0,15806000000.0,9223000000.0,6583000000.0,,423000000.0,8179000000.0,2019-12-31,prior_fiscal_year_end,14426000000.0,14905000000.0,7438000000.0,7467000000.0,,431000000.0,6971000000.0
